"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2019-01-01,4755,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-02-01,1566,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-03-01,1107,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-04-01,1013,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-05-01,971,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-06-01,1192,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-07-01,1490,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-08-01,611,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-09-01,8,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-10-01,-116,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-11-01,-151,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-12-01,-93,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2020-01-01,4866,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2020-02-01,1244,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2020-03-01,1751,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2020-04-01,807,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2020-05-01,881,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2020-06-01,1250,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2020-07-01,1628,"Bildung","lehrvertraege","Anzahl Lehrverträge pro Monat","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
